wtp
400
150
100
100
0
150
100
50
50
50
0
50
200
200
200
500
0
50
50
400
0
300
0
0
50
0
200
100
1000
50
0
200
300
500
1000
200
400
500
0
200
100
250
0
200
100
0
200
500
500
100
500
0
200
100
50
500
0
450
500
100
250
100
0
200
150
0
300
50
0
50
100
1500
100
0
50
0
500
50
400
0
0
0
200
300
500
150
50
0
200
100
400
200
0
500
100
50
100
100
100
50
400
1000
500
500
50
50
0
0
0
0
500
0
500
50
50
100
1000
0
500
200
1000
500
100
100
0
300
150
100
150
400
150
0
500
200
1000
500
200
200
100
100
100
100
500
0
100
50
200
100
50
100
250
150
50
50
50
50
50
1500
0
500
0
0
0
300
50
150
50
50
500
50
50
150
50
50
0
0
100
50
200
0
100
200
250
100
50
0
200
50
200
100
50
0
200
0
250
50
0
100
100
0
300
100
50
500
100
1000
50
400
150
450
0
200
0
250
100
50
0
100
50
50
200
600
200
50
150
100
50
100
150
1000
1000
50
0
200
50
200
400
250
50
50
1000
100
400
250
350
100
150
100
200
50
0
0
150
0
200
50
100
1000
50
0
0
0
200
100
150
100
50
200
0
100
50
100
100
500
100
400
200
100
0
350
1000
1000
250
50
100
50
0
250
0
100
100
500
100
150
50
0
0
50
500
500
50
50
100
50
50
100
150
500
0
50
50
200
150
0
300
100
0
500
50
100
200
200
200
0
50
250
50
50
50
100
0
200
100
50
100
1000
200
250
100
0
50
0
0
150
0
0
50
50
50
100
50
50
50
100
0
200
100
100
300
500
100
50
1000
100
200
200
50
100
50
200
100
0
100
0
400
200
100
0
300
100
200
1000
100
0
250
50
0
150
0
300
50
0
